Complexity metrics,Wed, 3 Jun 2020 18:27:59 EEST
Method,ev(G),iv(G),v(G)
"com.example.parking.ui.newParking.NewParkingSpace.getPlate()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.getStreet()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.getStreetNumber()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.getTextViewReferencesOfDateTime()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.getTimeRange()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.getUsername()",1,2,2
"com.example.parking.ui.newParking.NewParkingSpace.getZipCode()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.makeToast(String)",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.onCreate(Bundle)",1,2,2
"com.example.parking.ui.newParking.NewParkingSpace.setSpinner(ArrayList<String>)",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.successfullyFinishActivity()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.validateAddParking()",2,5,5
"com.example.parking.ui.newParking.NewParkingSpace.validateCredits()",3,3,4
"com.example.parking.ui.newParking.NewParkingSpace.validateStreet()",2,2,2
"com.example.parking.ui.newParking.NewParkingSpace.validateStreetNo()",2,2,2
"com.example.parking.ui.newParking.NewParkingSpace.validateZipCode()",3,3,3
"com.example.parking.ui.newParkingTest.NewParkingPresenterTest.setup()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingPresenterTest.validateParkingSpaceIsSaved()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getCredits()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getPlate()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getStreet()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getStreetNumber()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getTimeRange()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getToast()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getUsername()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.getZipCode()",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.makeToast(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setCredits(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setPlate(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setSpinner(ArrayList<String>)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setStreet(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setStreetno(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setUsername(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.setZip(String)",1,1,1
"com.example.parking.ui.newParkingTest.NewParkingViewStub.successfullyFinishActivity()",1,1,1
"com.example.parking.ui.notifications.Notifications.complaint(Button,ParkingRequest)",1,1,1
"com.example.parking.ui.notifications.Notifications.enterPinListener(Button,ParkingRequest)",1,3,3
"com.example.parking.ui.notifications.Notifications.getUserName()",1,2,2
"com.example.parking.ui.notifications.Notifications.makeToast(String)",1,1,1
"com.example.parking.ui.notifications.Notifications.onCreate(Bundle)",1,1,1
"com.example.parking.ui.notifications.Notifications.setApproveOrNotListener(Button,ParkingRequest)",1,1,1
"com.example.parking.ui.notifications.Notifications.showNotifications(ArrayList<ParkingRequest>,String)",1,8,8
"com.example.parking.ui.notifications.NotificationsPresenter.NotificationsPresenter(NotificationsView,ParkingRequestDAO,UserDAO)",1,4,4
"com.example.parking.ui.notifications.NotificationsPresenter.approveRequest(ParkingRequest)",1,1,1
"com.example.parking.ui.notifications.NotificationsPresenter.createRating(ParkingRequest)",1,1,1
"com.example.parking.ui.notifications.NotificationsPresenter.denyRequest(ParkingRequest)",1,1,1
"com.example.parking.ui.notifications.NotificationsPresenter.validateParking(ParkingRequest,Pin)",2,2,2
"com.example.parking.ui.notificationsTest.NotificationsPresenterTest.approveRequest()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsPresenterTest.denyRequest()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsPresenterTest.setup()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsPresenterTest.validateParking()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsViewStub.NotificationsViewStub()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsViewStub.getPinReq()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsViewStub.getToApprove()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsViewStub.getToast()",1,1,1
"com.example.parking.ui.notificationsTest.NotificationsViewStub.getUserName()",1,1,1
